sex,age,address,famsize,Pstatus,Medu,Fedu,reason,guardian,traveltime,studytime,failures,schoolsup,famsup,paid,activities,nursery,higher,internet,romantic,famrel,freetime,goout,Dalc,Walc,health,absences,Result
0,18,0,1,0,4,4,0,0,2,2,0,1,0,0,0,1,1,0,0,4,3,4,1,1,3,6,2
0,17,0,1,1,1,1,0,1,1,2,0,0,1,0,0,0,1,1,0,5,3,3,1,1,3,4,2
0,15,0,0,1,1,1,1,0,1,2,3,1,0,1,0,1,1,1,0,4,3,2,2,3,3,10,2
0,15,0,1,1,4,2,2,0,1,3,0,0,1,1,1,1,1,1,1,3,2,2,1,1,5,2,4
0,16,0,1,1,3,3,2,1,1,2,0,0,1,1,0,1,1,0,0,4,3,2,1,2,5,4,2
1,16,0,0,1,4,3,3,0,1,2,0,0,1,1,1,1,1,1,0,5,4,2,1,2,5,10,4
1,16,0,0,1,2,2,2,0,1,2,0,0,0,0,0,1,1,1,0,4,4,4,1,1,3,0,3
0,17,0,1,0,4,4,2,0,2,2,0,1,1,0,0,1,1,0,0,4,1,4,1,1,1,6,2
1,15,0,0,0,3,2,2,0,1,2,0,0,1,1,0,1,1,1,0,4,2,2,1,1,1,0,5
1,15,0,1,1,3,4,2,0,1,2,0,0,1,1,1,1,1,1,0,5,5,1,1,1,5,0,4
0,15,0,1,1,4,4,3,0,1,2,0,0,1,1,0,1,1,1,0,3,3,3,1,2,2,0,2
0,15,0,1,1,2,1,3,1,3,3,0,0,1,0,1,1,1,1,0,5,2,2,1,1,4,4,3
1,15,0,0,1,4,4,0,1,1,1,0,0,1,1,1,1,1,1,0,4,3,3,1,3,5,2,4
1,15,0,1,1,4,3,0,0,2,2,0,0,1,1,0,1,1,1,0,5,4,3,1,2,3,2,3
1,15,0,1,0,2,2,2,1,1,3,0,0,1,0,0,1,1,1,1,4,5,2,1,1,3,0,4
0,16,0,1,1,4,4,2,0,1,1,0,0,1,0,0,1,1,1,0,4,4,4,1,2,2,4,4
0,16,0,1,1,4,4,3,0,1,3,0,0,1,1,1,1,1,1,0,3,2,3,1,2,2,6,4
0,16,0,1,1,3,3,3,0,3,2,0,1,1,0,1,1,1,0,0,5,3,2,1,1,4,4,3
1,17,0,1,1,3,2,0,0,1,1,3,0,1,0,1,1,1,1,0,5,5,5,2,4,5,16,1
1,16,0,0,1,4,3,2,1,1,1,0,0,0,1,1,1,1,1,0,3,1,3,1,3,5,4,3
1,15,0,1,1,4,3,3,0,1,2,0,0,0,0,0,1,1,1,0,4,4,1,1,1,1,0,4
1,15,0,1,1,4,4,1,1,1,1,0,0,1,1,0,1,1,1,0,5,4,2,1,1,5,0,4
1,16,0,0,1,4,2,0,0,1,2,0,0,0,0,1,1,1,1,0,4,5,1,1,3,5,2,4
1,16,0,0,1,2,2,3,0,2,2,0,0,1,0,1,1,1,1,0,5,4,4,2,4,5,0,4
0,15,1,1,1,2,4,0,0,1,3,0,1,1,1,1,1,1,1,0,4,3,2,1,1,5,2,2
0,16,0,1,1,2,2,2,0,1,1,2,0,1,1,0,0,1,1,0,1,2,2,1,3,5,14,2
1,15,0,1,1,2,2,2,0,1,1,0,0,1,1,0,1,1,1,0,4,2,2,1,2,5,2,3
1,15,0,1,1,4,2,1,0,1,1,0,0,0,1,0,1,1,1,0,2,2,4,2,4,1,4,4
1,16,0,0,0,3,4,2,0,1,2,0,1,1,0,1,1,1,1,0,5,3,3,1,1,5,4,3
1,16,0,1,1,4,4,2,0,1,2,0,0,1,1,1,1,1,1,1,4,4,5,5,5,5,16,3
1,15,0,1,1,4,4,2,0,1,2,0,0,1,1,0,0,1,1,0,5,4,2,3,4,5,0,3
1,15,0,1,1,4,4,3,0,2,2,0,0,1,0,1,1,1,1,0,4,3,1,1,1,5,0,5
1,15,1,1,1,4,3,0,0,1,2,0,0,1,0,1,1,1,1,1,4,5,2,1,1,5,0,5
1,15,0,0,1,3,3,0,0,1,2,0,0,0,0,1,0,1,1,0,5,3,2,1,1,2,0,3
1,16,0,1,1,3,2,2,0,1,1,0,0,1,1,0,0,1,1,0,5,4,3,1,1,5,0,4
0,15,0,1,1,2,3,1,1,2,1,0,0,1,0,1,1,1,0,0,3,5,1,1,1,5,0,2
1,15,0,0,1,4,3,2,0,1,3,0,0,1,0,1,1,1,1,0,5,4,3,1,1,4,2,5
1,16,1,1,0,4,4,3,0,2,3,0,0,1,0,1,1,1,1,1,2,4,3,1,1,5,7,4
0,15,1,1,1,3,4,0,0,1,3,0,1,1,1,1,1,1,1,0,4,3,2,1,1,5,2,3
0,15,1,1,1,2,2,3,0,1,1,0,1,1,1,1,1,1,0,0,4,3,1,1,1,2,8,4
0,16,0,0,1,2,2,2,0,2,2,1,0,1,0,1,0,1,1,1,3,3,3,1,2,3,25,3
1,15,0,0,1,4,4,2,1,1,1,0,0,1,0,0,0,1,1,1,5,4,3,2,4,5,8,3
1,15,0,1,1,4,4,0,1,1,2,0,0,1,0,1,1,1,1,0,4,3,3,1,1,5,2,5
1,15,0,1,1,2,2,0,1,1,1,0,1,1,0,0,1,1,1,0,5,4,1,1,1,1,0,3
0,16,0,0,1,2,2,0,1,2,2,1,1,0,0,1,1,1,1,0,4,3,3,2,2,5,14,3
0,15,0,0,0,4,3,0,0,1,2,0,1,1,1,1,1,1,1,1,5,2,2,1,1,5,8,2
0,16,0,0,0,3,3,2,0,1,2,0,0,1,0,0,1,1,1,0,2,3,5,1,4,3,12,3
1,16,0,1,1,4,3,3,0,1,4,0,0,0,0,1,1,1,1,0,4,2,2,1,1,2,4,5
1,15,0,1,1,4,2,2,0,1,2,0,0,1,1,0,1,1,0,0,4,3,3,2,2,5,2,4
0,15,0,1,1,4,4,1,1,1,2,1,1,1,0,1,0,1,1,0,4,4,4,1,1,3,2,2
0,16,0,0,1,2,2,0,0,3,2,0,0,1,1,0,1,1,1,0,4,3,3,2,3,4,2,4
0,15,0,0,1,4,2,1,0,1,2,0,0,1,1,0,1,1,1,0,4,3,3,1,1,5,2,3
1,15,0,0,0,4,2,1,1,2,1,1,0,0,0,0,1,1,0,0,5,5,5,3,4,5,6,3
0,15,0,1,1,4,4,0,0,1,1,0,1,1,1,0,1,1,1,0,3,3,4,2,3,5,0,3
0,15,0,0,0,3,3,1,0,1,1,0,0,0,1,0,1,1,1,0,5,3,4,4,4,1,6,3
0,16,0,1,0,2,1,1,0,1,2,0,0,0,1,1,1,1,1,1,5,3,4,1,1,2,8,3
0,15,0,1,0,4,3,3,0,1,2,0,0,1,1,1,1,1,1,0,4,3,2,1,1,1,0,4
1,15,0,1,1,4,4,3,0,1,2,0,0,1,0,1,1,1,0,0,3,2,2,1,1,5,4,4
1,15,0,0,1,1,2,2,1,1,2,0,1,1,0,1,1,1,1,0,4,3,2,1,1,5,2,3
0,16,0,1,1,4,2,0,0,1,2,0,0,1,0,0,1,1,1,0,4,2,3,1,1,5,2,4
0,16,1,1,1,4,4,1,0,1,2,0,0,1,0,1,1,1,0,0,2,4,4,2,3,4,6,3
0,16,0,1,1,1,1,0,1,4,1,0,1,1,0,1,0,1,1,1,5,5,5,5,5,5,6,3
0,16,0,0,1,1,2,3,1,1,2,0,1,0,0,1,1,1,1,0,4,4,3,1,1,1,4,2
0,16,0,1,1,4,3,2,0,1,3,0,1,1,1,1,1,1,1,0,3,4,4,2,4,4,2,3
0,15,0,0,1,4,3,3,1,1,2,0,1,0,0,1,1,1,1,1,4,4,4,2,4,2,0,3
0,16,0,0,1,4,3,0,0,3,2,0,0,1,0,1,1,1,1,0,5,4,3,1,2,1,2,4
1,15,0,1,0,4,4,3,0,1,4,0,0,1,0,1,0,1,1,1,1,3,3,5,5,3,4,4
0,16,0,1,1,3,1,0,0,1,4,0,1,1,1,0,1,1,1,0,4,3,3,1,2,5,4,2
0,15,1,0,1,2,2,3,0,2,2,0,1,1,1,0,1,1,1,0,4,1,3,1,3,4,2,2
0,15,1,0,1,3,1,3,1,2,4,0,0,1,0,0,0,1,1,0,4,4,2,2,3,3,12,4
1,16,0,1,1,3,1,3,1,2,4,0,0,1,1,0,1,1,1,0,4,3,2,1,1,5,0,4
1,15,0,1,1,4,2,0,0,1,4,0,0,0,0,0,1,1,1,0,3,3,3,1,1,3,0,3
0,15,1,1,1,1,1,3,0,1,2,2,1,1,0,0,0,1,1,1,3,3,4,2,4,5,2,2
1,16,0,1,1,3,1,3,0,1,1,0,0,0,0,1,1,1,0,0,5,3,2,2,2,5,2,4
0,16,0,1,1,3,3,2,0,1,2,0,1,1,1,1,1,1,1,0,4,3,3,2,4,5,54,3
1,15,0,1,1,4,3,2,0,1,2,0,0,1,1,1,1,1,1,0,4,3,3,2,3,5,6,3
1,15,0,1,1,4,0,0,0,2,4,0,0,0,0,1,1,1,1,0,3,4,3,1,1,1,8,3
0,16,0,1,1,2,2,3,0,1,4,0,0,0,1,0,1,1,1,1,5,2,3,1,3,3,0,3
1,17,0,1,1,2,1,2,0,2,1,3,1,1,0,1,1,0,1,0,4,5,1,1,1,3,2,2
0,16,0,1,1,3,4,0,0,1,2,0,0,1,0,0,1,1,1,0,2,4,3,1,2,3,12,1
1,15,0,1,1,2,3,0,1,1,1,0,1,1,1,1,0,1,1,1,3,2,2,1,3,3,2,3
1,15,0,1,1,2,3,2,0,1,3,0,1,0,1,0,0,1,1,0,5,3,2,1,2,5,4,3
0,15,0,0,1,3,2,3,0,1,2,0,0,1,1,0,1,1,1,0,4,4,4,1,1,5,10,2
1,15,0,0,1,2,2,2,0,2,2,0,0,0,1,1,1,1,1,0,5,3,3,1,3,4,4,4
0,15,0,1,1,1,1,2,1,1,2,0,0,1,0,1,0,1,1,0,4,3,2,2,3,4,2,3
0,15,0,1,1,4,4,3,1,2,2,2,0,0,1,0,1,1,1,1,4,4,4,2,3,5,6,2
0,16,0,0,1,2,2,0,0,1,2,0,0,1,0,0,1,1,0,0,4,3,4,1,2,2,4,2
0,15,0,1,1,4,2,3,0,1,3,0,0,1,0,1,1,1,1,0,5,3,3,1,3,1,4,4
1,16,0,1,1,2,2,3,1,2,2,1,0,0,1,1,0,1,1,0,4,4,2,1,1,3,12,3
1,16,0,0,0,4,4,3,0,1,2,0,0,1,0,0,1,1,0,0,4,1,3,3,5,5,18,2
0,16,0,1,1,3,3,2,0,1,3,0,0,1,1,0,1,1,1,1,4,3,3,1,3,4,0,2
0,15,0,1,1,4,3,3,0,1,1,0,0,0,1,1,1,1,1,0,4,5,5,1,3,1,4,5
0,16,0,0,1,3,1,2,1,1,2,0,1,1,0,0,1,1,0,0,3,3,3,2,3,2,4,2
0,16,0,1,1,4,2,2,0,2,2,0,0,1,1,1,1,1,1,0,5,3,3,1,1,1,0,3
1,15,0,0,1,2,2,3,0,1,4,0,0,1,0,1,1,1,1,0,4,3,4,1,1,4,6,4
0,15,1,1,1,1,1,2,0,2,4,1,1,1,1,1,1,1,1,0,3,1,2,1,1,1,2,3
1,16,1,1,1,4,3,3,0,2,1,0,1,1,0,1,0,1,1,0,3,3,3,1,1,4,2,4
0,16,0,1,1,2,1,0,0,1,2,0,0,1,1,0,1,1,0,1,4,3,5,1,1,5,2,3
0,16,0,1,1,4,4,3,0,1,1,0,0,0,0,1,0,1,1,0,5,3,4,1,2,1,6,4
0,16,0,1,1,4,3,0,0,1,3,0,1,1,1,0,1,1,1,0,5,3,5,1,1,3,0,2
1,16,0,1,1,4,4,1,0,1,1,0,1,1,1,1,1,1,1,0,4,5,5,5,5,4,14,2
1,16,0,1,1,4,4,1,1,1,3,0,0,1,0,1,1,1,1,1,4,4,3,1,1,4,0,5
1,15,0,1,1,4,4,0,0,1,1,0,0,1,0,1,0,1,1,0,5,3,3,1,1,5,4,3
0,15,0,1,1,3,2,2,0,2,2,0,1,1,1,0,1,1,1,0,4,3,5,1,1,2,26,2
1,15,0,1,0,3,4,0,0,1,2,0,0,1,1,1,1,1,1,0,5,4,4,1,1,1,0,5
0,15,0,1,0,3,3,3,1,1,4,0,1,0,0,0,1,1,0,0,4,3,3,1,1,4,10,3
0,15,0,1,1,2,2,0,0,1,4,0,1,1,1,0,1,1,1,0,5,1,2,1,1,3,8,2
1,16,0,1,1,3,3,2,1,1,3,0,0,1,0,1,1,1,1,0,5,3,3,1,1,5,2,5
1,15,1,1,1,4,4,2,1,4,4,0,0,1,1,1,1,1,1,1,1,3,5,3,5,1,6,3
0,16,0,0,1,4,4,1,0,1,3,0,0,1,1,1,1,1,1,1,5,4,5,1,1,4,4,4
1,15,0,0,0,4,4,0,0,1,1,0,0,0,0,1,1,1,1,0,5,5,3,1,1,4,6,5
0,16,1,1,1,3,3,3,1,1,3,1,1,1,0,1,1,1,1,0,4,1,2,1,1,2,0,3
0,16,0,1,1,2,2,2,0,1,2,1,1,0,0,1,1,1,1,0,3,1,2,1,1,5,6,3
1,15,0,0,1,4,2,0,0,1,1,0,0,0,0,0,1,1,1,0,3,5,2,1,1,3,10,5
1,15,1,1,1,2,1,3,0,1,2,0,0,0,0,1,1,1,1,1,5,4,2,1,1,5,8,2
1,16,0,1,1,4,4,0,1,1,2,0,0,1,0,1,1,1,1,0,5,4,4,1,2,5,2,4
1,15,0,1,1,4,4,3,1,2,2,0,0,1,0,1,1,1,0,0,4,4,3,1,1,2,2,4
1,16,0,1,1,3,3,2,1,2,1,0,0,0,0,1,1,1,1,0,5,4,2,1,1,5,0,4
1,17,1,1,1,1,3,0,1,3,2,1,0,1,0,1,1,1,1,0,5,2,4,1,4,5,20,2
1,15,0,1,1,3,4,3,1,1,1,0,0,0,0,0,1,1,1,0,3,4,3,1,2,4,6,4
0,15,0,1,1,1,2,0,0,1,2,0,0,0,0,0,0,1,1,0,3,2,3,1,2,1,2,4
1,15,0,1,1,2,2,2,1,1,4,0,0,1,1,1,1,1,1,0,5,5,4,1,2,5,6,4
0,16,0,0,1,2,4,0,1,2,2,0,0,1,1,1,1,1,1,1,4,2,2,1,2,5,2,4
1,16,0,1,1,4,4,0,0,1,1,0,0,1,0,1,1,1,1,0,3,4,4,1,4,5,18,4
0,16,0,1,1,2,2,2,0,1,2,0,0,0,1,0,1,1,1,1,5,4,4,1,1,5,0,2
1,15,0,1,1,3,4,2,1,1,1,0,1,0,0,0,1,1,1,0,5,5,5,3,2,5,0,4
0,15,0,0,0,3,4,2,0,1,2,0,1,0,0,1,1,1,1,1,5,3,2,1,1,1,0,3
0,19,0,1,1,0,1,0,1,1,2,3,0,1,0,0,0,0,0,0,3,4,2,1,1,5,2,2
1,18,1,1,1,2,2,3,0,1,1,2,0,1,0,1,1,1,1,0,3,3,3,1,2,4,0,1
1,16,1,1,1,4,4,0,0,1,1,0,0,0,1,1,1,1,1,0,3,5,5,2,5,4,8,5
0,15,1,1,1,3,4,0,1,2,3,2,0,1,0,0,1,1,1,1,4,2,2,2,2,5,0,1
0,15,0,1,1,1,1,0,0,3,1,0,0,1,0,1,0,1,1,1,4,3,3,1,2,4,0,1
0,17,0,0,1,2,2,0,1,1,1,0,0,1,0,0,1,1,1,1,3,4,4,1,3,5,12,3
0,16,0,1,0,3,4,0,1,1,1,0,0,0,0,0,1,1,1,0,3,2,1,1,4,5,16,3
1,15,1,1,1,3,4,0,0,4,2,0,0,1,0,0,1,1,0,1,5,3,3,1,1,5,0,1
0,15,0,1,1,4,4,0,0,1,3,0,0,1,0,1,1,1,1,1,4,3,3,1,1,5,0,1
1,17,1,1,1,3,4,0,0,3,2,0,0,0,0,0,1,1,0,0,5,4,5,2,4,5,0,1
0,16,0,1,0,3,3,0,1,2,1,2,0,1,0,1,0,1,1,1,4,3,2,1,1,5,0,1
1,16,0,0,1,1,1,0,0,1,2,1,0,0,0,0,1,1,0,1,4,4,4,1,3,5,0,4
0,15,0,1,1,4,4,0,0,2,1,0,0,0,0,1,1,1,1,0,4,3,2,1,1,5,0,4
1,15,0,1,1,4,3,0,1,2,4,0,1,1,0,0,1,1,1,0,2,2,2,1,1,3,0,1
1,16,0,0,1,2,2,3,1,2,1,2,0,1,0,1,1,1,1,0,2,3,3,2,2,2,8,2
0,15,0,1,1,4,4,0,0,1,3,0,0,1,1,1,1,1,1,0,4,2,2,1,1,5,2,3
0,16,0,0,1,1,1,0,0,1,1,0,0,0,0,0,1,1,1,0,3,4,4,3,3,1,2,4
1,17,0,1,1,2,1,2,0,1,1,3,0,1,0,0,1,1,1,0,5,4,5,1,2,5,0,1
0,15,0,1,1,1,1,0,1,1,2,0,0,1,1,0,1,1,1,0,4,4,2,1,2,5,0,3
0,15,0,1,1,3,2,2,1,1,2,3,0,1,0,0,1,1,1,0,3,3,2,1,1,3,0,1
0,15,0,1,1,1,2,0,0,1,2,0,0,1,1,0,0,1,1,0,4,3,2,1,1,5,2,3
1,16,0,1,1,4,4,0,0,1,1,0,0,1,0,0,1,0,1,1,3,3,2,2,1,5,0,1
1,15,0,0,0,2,1,0,0,4,1,3,0,0,0,0,1,1,1,0,4,5,5,2,5,5,0,3
1,18,0,0,1,1,1,0,0,1,1,3,0,0,0,0,1,0,1,1,2,3,5,2,5,4,0,1
1,16,0,0,1,2,1,0,0,1,1,1,0,0,0,1,1,1,0,1,4,4,4,3,5,5,6,4
0,15,1,1,1,3,3,3,1,2,3,2,0,1,1,1,1,1,1,1,4,2,1,2,3,3,8,3
1,19,0,1,1,3,2,2,0,1,1,3,0,1,0,0,1,0,1,1,4,5,4,1,1,4,0,1
0,17,0,1,1,4,4,0,0,1,1,0,1,1,0,0,1,1,0,1,4,2,1,1,1,4,0,3
1,15,1,1,1,2,3,0,0,1,2,0,1,0,1,1,1,1,0,0,4,4,4,1,1,1,2,2
1,17,1,0,1,1,2,3,0,1,1,0,0,0,0,0,1,1,0,0,2,2,2,3,3,5,8,4
0,18,1,1,1,1,1,0,0,3,1,3,0,1,0,1,0,1,0,0,5,2,5,1,5,4,6,3
1,16,1,1,1,2,2,0,0,3,1,0,0,0,0,0,0,1,0,0,4,2,2,1,2,3,2,4
1,16,0,1,1,3,3,0,1,1,2,1,0,1,1,0,1,1,1,1,4,5,5,4,4,5,4,3
1,17,1,0,1,2,1,0,0,2,1,2,0,0,0,1,1,0,1,1,3,3,2,2,2,5,0,1
1,15,1,1,1,3,2,0,0,2,2,2,1,1,0,0,1,1,1,1,4,4,4,1,4,3,6,2
1,16,0,0,1,1,2,0,0,2,1,1,0,0,0,1,1,1,0,0,4,4,4,2,4,5,0,1
1,17,0,1,1,1,3,0,1,1,1,0,0,0,0,0,1,0,1,0,5,3,3,1,4,2,2,3
1,17,1,0,1,1,1,0,0,4,2,3,0,0,0,1,1,0,0,1,5,3,5,1,5,5,0,2
1,16,0,1,1,3,2,0,0,2,1,1,0,1,0,1,0,0,0,0,4,5,2,1,1,2,16,3
1,16,0,1,1,2,2,0,1,1,2,0,0,0,0,0,1,0,1,0,4,3,5,2,4,4,4,3
0,16,0,1,1,4,2,2,1,1,2,0,0,0,1,0,1,1,1,1,4,2,3,1,1,3,0,4
0,16,0,1,1,2,2,2,0,1,2,0,0,1,1,0,0,1,1,0,5,1,5,1,1,4,0,1
0,16,0,1,1,4,4,3,0,1,2,0,0,1,1,0,1,1,1,1,4,4,2,1,1,3,0,4
1,16,0,1,1,3,4,0,1,3,1,2,0,1,0,1,0,1,1,0,3,4,5,2,4,2,0,1
1,16,0,1,1,1,0,3,0,2,2,0,0,1,1,1,1,1,1,1,4,3,2,1,1,3,2,4
1,17,0,0,1,4,4,3,0,1,2,0,0,1,1,1,1,1,1,0,4,4,4,1,3,5,0,3
0,16,0,1,1,1,3,2,0,1,2,3,0,0,0,1,0,1,1,1,4,3,5,1,1,3,0,1
0,16,0,0,1,3,3,3,0,2,2,0,0,1,1,1,1,1,1,0,4,4,5,1,1,4,4,3
1,17,0,0,1,4,3,0,0,2,2,0,0,0,1,1,1,1,1,0,4,4,4,4,4,4,4,3
0,16,0,1,1,2,2,3,0,2,2,0,0,0,1,1,0,1,1,0,3,4,4,1,4,5,2,3
1,17,0,1,1,3,3,3,1,1,2,0,0,0,0,1,0,1,1,0,4,3,4,1,4,4,4,2
1,16,1,1,1,4,2,1,0,1,1,0,0,1,0,1,1,1,1,1,4,3,3,3,4,3,10,2
1,17,0,1,1,4,3,0,0,1,2,0,0,1,0,1,1,1,1,1,5,2,3,1,1,2,4,3
1,16,0,1,1,4,3,2,0,1,2,0,0,1,1,1,1,1,1,0,3,4,3,2,3,3,10,2
1,16,0,1,1,3,3,2,0,1,2,0,0,0,1,1,1,1,1,1,4,2,3,1,2,3,2,3
0,17,0,1,1,2,4,3,1,1,2,0,0,1,0,1,1,1,0,0,5,4,2,2,3,5,0,5
0,17,0,0,1,3,3,3,0,1,2,0,0,1,0,1,1,1,1,1,5,3,3,2,3,1,56,2
0,16,0,1,1,3,2,3,0,1,2,0,0,1,1,0,1,1,1,0,1,2,2,1,2,1,14,3
1,17,0,1,1,3,3,1,0,1,2,0,0,1,0,1,1,1,1,1,4,3,4,2,3,4,12,3
1,16,0,1,1,1,2,1,0,1,1,0,0,1,1,1,1,1,1,1,3,3,3,1,2,3,2,3
1,16,0,0,1,2,1,0,0,1,2,0,0,0,1,1,1,1,1,1,4,2,3,1,2,5,0,4
0,17,0,1,0,3,3,3,0,1,2,0,0,1,0,0,0,1,1,1,3,3,3,1,3,3,6,2
1,17,1,1,1,1,2,2,0,1,2,0,0,0,0,0,1,1,0,0,3,1,3,1,5,3,4,3
0,16,0,1,1,2,3,0,0,1,2,0,0,0,0,0,1,1,1,0,4,3,3,1,1,2,10,3
0,17,0,1,1,1,1,0,0,1,2,0,0,0,0,1,1,1,1,0,5,3,3,1,1,3,0,2
1,17,0,1,1,1,2,1,1,2,2,0,0,0,1,1,0,1,1,0,4,4,4,4,5,5,12,2
1,16,1,1,1,3,3,3,0,1,1,0,0,1,0,1,1,1,1,0,4,3,2,3,4,5,8,3
1,16,0,1,1,2,3,2,1,2,1,0,0,0,0,0,1,1,1,0,5,3,3,1,1,3,0,4
